=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.07 15:32:09 =~=~=~=~=~=~=~=~=~=~=~=

t: 0.1, T: 26.67
t: 0.2, T: 26.67
t: 0.3, T: 26.67
t: 0.4, T: 26.67
t: 0.5, T: 26.67
t: 0.6, T: 26.67
t: 0.7, T: 26.67
t: 0.8, T: 26.75
t: 0.9, T: 26.75
t: 1.0, T: 26.75
t: 1.1, T: 26.67
t: 1.2, T: 26.75
t: 1.3, T: 26.75
t: 1.4, T: 26.75
t: 1.5, T: 26.67
t: 1.6, T: 27.06
t: 1.7, T: 26.98
t: 1.8, T: 27.06
t: 1.9, T: 27.06
t: 2.0, T: 27.06
t: 2.1, T: 27.06
t: 2.2, T: 27.06
t: 2.3, T: 27.06
t: 2.4, T: 27.06
t: 2.5, T: 27.06
t: 2.6, T: 27.14
t: 2.7, T: 27.14
t: 2.8, T: 27.14
t: 2.9, T: 27.14
t: 3.0, T: 27.14
t: 3.1, T: 27.14
t: 3.2, T: 27.22
t: 3.3, T: 27.22
t: 3.4, T: 27.22
t: 3.5, T: 27.22
t: 3.6, T: 27.30
t: 3.7, T: 27.30
t: 3.8, T: 27.30
t: 3.9, T: 27.30
t: 4.0, T: 27.30
t: 4.1, T: 27.38
t: 4.2, T: 27.38
t: 4.3, T: 27.38
t: 4.4, T: 27.46
t: 4.5, T: 27.46
t: 4.6, T: 27.46
t: 4.7, T: 27.46
t: 4.8, T: 27.46
t: 4.9, T: 27.54
t: 5.0, T: 27.46
t: 5.1, T: 27.54
t: 5.2, T: 27.62
t: 5.3, T: 27.62
t: 5.4, T: 27.62
t: 5.5, T: 27.62
t: 5.6, T: 27.70
t: 5.7, T: 27.70
t: 5.8, T: 27.70
t: 5.9, T: 27.78
t: 6.0, T: 27.78
t: 6.1, T: 27.78
t: 6.2, T: 27.86
t: 6.3, T: 27.86
t: 6.4, T: 27.86
t: 6.5, T: 27.94
t: 6.6, T: 28.02
t: 6.7, T: 28.02
t: 6.8, T: 28.02
t: 6.9, T: 28.02
t: 7.0, T: 28.10
t: 7.1, T: 28.10
t: 7.2, T: 28.17
t: 7.3, T: 28.17
t: 7.4, T: 28.17
t: 7.5, T: 28.17
t: 7.6, T: 28.25
t: 7.7, T: 28.25
t: 7.8, T: 28.33
t: 7.9, T: 28.33
t: 8.0, T: 28.33
t: 8.1, T: 28.41
t: 8.2, T: 28.41
t: 8.3, T: 28.49
t: 8.4, T: 28.49
t: 8.5, T: 28.49
t: 8.6, T: 28.57
t: 8.7, T: 28.57
t: 8.8, T: 28.57
t: 8.9, T: 28.65
t: 9.0, T: 28.73
t: 9.1, T: 28.65
t: 9.2, T: 28.73
t: 9.3, T: 28.81
t: 9.4, T: 28.81
t: 9.5, T: 28.89
t: 9.6, T: 28.89
t: 9.7, T: 28.97
t: 9.8, T: 28.97
t: 9.9, T: 28.97
t: 10.0, T: 29.05
t: 10.1, T: 29.05
t: 10.2, T: 29.13
t: 10.3, T: 29.13
t: 10.4, T: 29.13
t: 10.5, T: 29.21
t: 10.6, T: 29.21
t: 10.7, T: 29.29
t: 10.8, T: 29.29
t: 10.9, T: 29.37
t: 11.0, T: 29.37
t: 11.1, T: 29.37
t: 11.2, T: 29.44
t: 11.3, T: 29.52
t: 11.4, T: 29.52
t: 11.5, T: 29.52
t: 11.6, T: 29.60
t: 11.7, T: 29.60
t: 11.8, T: 29.68
t: 11.9, T: 29.68
t: 12.0, T: 29.76
t: 12.1, T: 29.76
t: 12.2, T: 29.76
t: 12.3, T: 29.84
t: 12.4, T: 29.92
t: 12.5, T: 29.92
t: 12.6, T: 29.92
t: 12.7, T: 30.08
t: 12.8, T: 30.08
t: 12.9, T: 30.16
t: 13.0, T: 30.08
t: 13.1, T: 30.16
t: 13.2, T: 30.24
t: 13.3, T: 30.24
t: 13.4, T: 30.32
t: 13.5, T: 30.32
t: 13.6, T: 30.32
t: 13.7, T: 30.40
t: 13.8, T: 30.40
t: 13.9, T: 30.48
t: 14.0, T: 30.56
t: 14.1, T: 30.56
t: 14.2, T: 30.63
t: 14.3, T: 30.63
t: 14.4, T: 30.71
t: 14.5, T: 30.71
t: 14.6, T: 30.71
t: 14.7, T: 30.79
t: 14.8, T: 30.79
t: 14.9, T: 30.87
t: 15.0, T: 30.87
t: 15.1, T: 30.95
t: 15.2, T: 30.95
t: 15.3, T: 31.03
t: 15.4, T: 31.11
t: 0.1, T: 0.00
t: 0.2, T: 33.10
t: 0.3, T: 33.02
t: 0.4, T: 33.02
t: 0.5, T: 33.10
t: 0.6, T: 33.10
t: 0.7, T: 33.10
t: 0.8, T: 33.10
t: 0.9, T: 33.10
t: 1.0, T: 33.10
t: 1.1, T: 33.02
t: 1.2, T: 33.10
t: 1.3, T: 33.10
t: 1.4, T: 33.02
t: 1.5, T: 33.10
t: 1.6, T: 33.10
t: 1.7, T: 33.02
t: 1.8, T: 33.02
t: 1.9, T: 33.02
t: 2.0, T: 33.02
t: 2.1, T: 33.02
t: 2.2, T: 32.94
t: 2.3, T: 32.94
t: 2.4, T: 32.94
t: 2.5, T: 32.94
t: 2.6, T: 32.94
t: 2.7, T: 32.86
t: 2.8, T: 32.78
t: 2.9, T: 32.86
t: 3.0, T: 32.78
t: 3.1, T: 32.86
t: 3.2, T: 32.78
t: 3.3, T: 32.70
t: 3.4, T: 32.70
t: 3.5, T: 32.70
t: 3.6, T: 32.70
t: 3.7, T: 32.62
t: 3.8, T: 32.70
t: 3.9, T: 32.62
t: 4.0, T: 32.54
t: 4.1, T: 32.54
t: 4.2, T: 32.54
