=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.30 17:45:13 =~=~=~=~=~=~=~=~=~=~=~=
t: 0.1, T: 33.10

, Control: 1.00

t: 0.2, T: 33.10

, Control: 1.00

t: 0.3, T: 33.41

, Control: 1.00

t: 0.4, T: 33.49

, Control: 1.00

t: 0.5, T: 33.49

, Control: 1.00

t: 0.6, T: 33.41

, Control: 1.00

t: 0.7, T: 33.49

, Control: 1.00

t: 0.8, T: 33.41

, Control: 1.00

t: 0.9, T: 33.49

, Control: 1.00

t: 1.0, T: 33.49

, Control: 1.00

t: 1.1, T: 33.49

, Control: 1.00

t: 1.2, T: 33.57

, Control: 1.00

t: 1.3, T: 33.49

, Control: 1.00

t: 1.4, T: 33.57

, Control: 1.00

t: 1.5, T: 33.57

, Control: 1.00

t: 1.6, T: 33.57

, Control: 1.00

t: 1.7, T: 33.57

, Control: 1.00

t: 1.8, T: 33.57

, Control: 1.00

t: 1.9, T: 33.57

, Control: 1.00

t: 2.0, T: 33.65

, Control: 1.00

t: 2.1, T: 33.57

, Control: 1.00

t: 2.2, T: 33.65

, Control: 1.00

t: 2.3, T: 33.65

, Control: 1.00

t: 2.4, T: 33.73

, Control: 1.00

t: 2.5, T: 33.73

, Control: 1.00

t: 2.6, T: 33.73

, Control: 1.00

t: 2.7, T: 33.73

, Control: 1.00

t: 2.8, T: 33.73

, Control: 1.00

t: 2.9, T: 33.81

, Control: 1.00

t: 3.0, T: 33.81

, Control: 1.00

t: 3.1, T: 33.89

, Control: 1.00

t: 3.2, T: 33.89

, Control: 1.00

t: 3.3, T: 33.89

, Control: 1.00

t: 3.4, T: 33.97

, Control: 1.00

t: 3.5, T: 33.97

, Control: 1.00

t: 3.6, T: 33.97

, Control: 1.00

t: 3.7, T: 33.97

, Control: 1.00

t: 3.8, T: 33.97

, Control: 1.00

t: 3.9, T: 33.97

, Control: 1.00

t: 4.0, T: 34.05

, Control: 1.00

t: 4.1, T: 34.05

, Control: 1.00

t: 4.2, T: 34.13

, Control: 1.00

t: 4.3, T: 34.13

, Control: 1.00

t: 4.4, T: 34.13

, Control: 1.00

t: 4.5, T: 34.21

, Control: 1.00

t: 4.6, T: 34.13

, Control: 1.00

t: 4.7, T: 34.29

, Control: 1.00

t: 4.8, T: 34.29

, Control: 1.00

t: 4.9, T: 34.29

, Control: 1.00

t: 5.0, T: 34.37

, Control: 1.00

t: 5.1, T: 34.29

, Control: 1.00

t: 5.2, T: 34.44

, Control: 1.00

t: 5.3, T: 34.44

, Control: 1.00

t: 5.4, T: 34.37

, Control: 1.00

t: 5.5, T: 34.52

, Control: 1.00

t: 5.6, T: 34.44

, Control: 1.00

t: 5.7, T: 34.52

, Control: 1.00

t: 5.8, T: 34.52

, Control: 1.00

t: 5.9, T: 34.60

, Control: 1.00

t: 6.0, T: 34.60

, Control: 1.00

t: 6.1, T: 34.60

, Control: 1.00

t: 6.2, T: 34.68

, Control: 1.00

t: 6.3, T: 34.68

, Control: 1.00

t: 6.4, T: 34.76

, Control: 1.00

t: 6.5, T: 34.76

, Control: 1.00

t: 6.6, T: 34.76

, Control: 1.00

t: 6.7, T: 34.76

, Control: 1.00

t: 6.8, T: 34.84

, Control: 1.00

t: 6.9, T: 34.84

, Control: 1.00

t: 7.0, T: 34.84

, Control: 1.00

t: 7.1, T: 34.92

, Control: 1.00

t: 7.2, T: 34.84

, Control: 1.00

t: 7.3, T: 34.92

, Control: 1.00

t: 7.4, T: 35.00

, Control: 1.00

t: 7.5, T: 35.00

, Control: 1.00

t: 7.6, T: 35.00

, Control: 1.00

t: 7.7, T: 35.08

, Control: 1.00

t: 7.8, T: 35.16

, Control: 1.00

t: 7.9, T: 35.16

, Control: 1.00

t: 8.0, T: 35.16

, Control: 1.00

t: 8.1, T: 35.24

, Control: 1.00

t: 8.2, T: 35.24

, Control: 1.00

t: 8.3, T: 35.24

, Control: 1.00

t: 8.4, T: 35.24

, Control: 1.00

t: 8.5, T: 35.32

, Control: 1.00

t: 8.6, T: 35.32

, Control: 1.00

t: 8.7, T: 35.40

, Control: 1.00

t: 8.8, T: 35.40

, Control: 1.00

t: 8.9, T: 35.48

, Control: 1.00

t: 9.0, T: 35.48

, Control: 1.00

t: 9.1, T: 35.56

, Control: 1.00

t: 9.2, T: 35.56

, Control: 1.00

t: 9.3, T: 35.56

